participant_id,file_name,category,metric
0a90748e-1237-7a4d-4280-40bb4535ec14,Amazon-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Cheerios-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Heineken-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Heinz-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Jif-001_Image,Food & Beverage,83.33333333
0a90748e-1237-7a4d-4280-40bb4535ec14,Kinder-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,KitKat-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Lipton-001_Image,Food & Beverage,90
0a90748e-1237-7a4d-4280-40bb4535ec14,Oreo-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Pepsi-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Snickers-001_Image,Food & Beverage,0
0a90748e-1237-7a4d-4280-40bb4535ec14,DKNY-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Lacoste-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Hermes-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,CalvinKlein-001_Image,Fashion,76.66666667
0a90748e-1237-7a4d-4280-40bb4535ec14,Versace-001_Image,Fashion,93.33333333
0a90748e-1237-7a4d-4280-40bb4535ec14,Givenchy-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Celine-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Adidas_001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Fossil-001_Image,Fashion,80
0a90748e-1237-7a4d-4280-40bb4535ec14,Gucci-001_Image,Fashion,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Intel-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Nokia-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,OnePlus-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Sonos-001_Image,Electronics,96.66666667
0a90748e-1237-7a4d-4280-40bb4535ec14,Asus-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,BeatsByDre-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,Samsung-001_Image,Electronics,86.66666667
0a90748e-1237-7a4d-4280-40bb4535ec14,Marshall-001_Image,Electronics,0
0a90748e-1237-7a4d-4280-40bb4535ec14,HP-001_Image,Electronics,0
